stage,step,action,x_m,y_m,z_m,duration_s,relative_spur_counts
1,1,move,0.16,0.16,0.10,5,
1,2,move,0.16,0.16,0.05,5,
1,3,gripper_close,,,,5,-150000
1,4,move,0.16,0.16,0.15,5,
1,5,move,0.0929,-0.1327,0.15,5,
1,6,move,0.0929,-0.1327,0.05,10,
1,7,move,0.07,-0.10,0.05,5,
1,8,gripper_open,,,,5,150000
1,9,move,0.07,-0.10,0.15,5,
2,1,move,0.17,0.03,0.15,5,
2,2,move,0.17,0.03,0.085,5,
2,3,gripper_close,,,,5,-150000
2,4,move,0.17,0.03,0.15,5,
2,5,move,0.18,-0.04,0.15,5,
2,6,move,0.18,-0.04,0.05,10,
2,7,gripper_open,,,,5,150000
2,8,move,0.18,-0.04,0.15,5,
3,1,move,0.17,0.03,0.15,5,
3,2,move,0.17,0.03,0.045,5,
3,3,gripper_close,,,,5,-150000
3,4,move,0.17,0.03,0.15,5,
3,5,move,0.0642,-0.0918,0.15,5,
3,6,move,0.0642,-0.0918,0.085,10,
3,7,gripper_open,,,,5,150000
3,8,move,0.0642,-0.0918,0.15,5,
4,1,move,0.18,-0.04,0.15,5,
4,2,move,0.18,-0.04,0.045,5,
4,3,gripper_close,,,,5,-150000
4,4,move,0.18,-0.04,0.15,5,
4,5,move,0.0642,-0.0918,0.15,5,
4,6,move,0.0642,-0.0918,0.125,10,
4,7,gripper_open,,,,5,150000
